road_id,road_key,nomor_ruas,canonical_name,display_name,qgis_source_road_code,qgis_source_name,district_2025,village_source_qgis,historical_source_name,historical_source_record_no,historical_reported_road_no,ml_source_record_id,ml_source_name,identity_status
2a3ef9f5-cd5d-50f7-8e73-465150d1f0d6,HSS-KAB-022,022,Jl. Rahmah Bahran,Rahmah Bahran,022,Jl. Rahma Bahran,Kandangan,Kandangan Barat,Rahmah Bahran,235,022,332,Rahmah Bahran,AUTHORITATIVE_V1
a7bbf3ed-b75d-59c4-ada6-2f53f1f6cc6f,HSS-KAB-023,023,Jl. Brigjen Katamso,Brigjen Katamso,023,Jl. Brigjend. Katamso,Kandangan,Kandangan Barat,Brigjen Katamso,56,023,291,Brigjen Katamso,AUTHORITATIVE_V1
8502d274-215b-5280-8d5a-09bf65784b82,HSS-KAB-024,024,Jl. Kolonel Sugiono,Kolonel Sugiono,024,JL. Kolonel Sugiono,Kandangan,Kandangan Barat,Kolonel Sugiono,143,024,331,Kolonel Sugiono,AUTHORITATIVE_V1
8bc9650b-0479-555c-bd57-6847bbb309e5,HSS-KAB-025,025,Singakarsa - Palas,Singakarsa - Palas,025,Singakarsa - Palas,Kandangan,Kandangan Kota - Ds. Sungai Kupang,Singakarsa - Palas,261,025,34,Singakarsa - Palas,AUTHORITATIVE_V1
dcb6b1ac-b95d-5213-8f1b-cd285121fd89,HSS-KAB-026,026,Singakarsa - Getek,Singakarsa - Getek,026,Singakarsa - Getek,Kandangan,Kandangan Barat - Ds. Amawang Kiri Muka,Singakarsa - Getek,260,026,339,Singakarsa - Getek,AUTHORITATIVE_V1
5e79eeb6-8425-5eb3-93bf-0b70d296464c,HSS-KAB-027,027,Parincahan - Singakarsa (Jl. Harapan),Parincahan - Singakarsa (Jl. Harapan),027,Parincahan - Singakarsa (Jl. Harapan),Kandangan,Kandangan Barat,Parincahan - Singakarsa (Harapan),224,027,240,Parincahan - Singakarsa (Harapan),AUTHORITATIVE_V1
cb7c3654-8bdc-518a-bf51-dc70154388ea,HSS-KAB-028,028,Budi Bakti - Tiga Desember,Budi Bakti - Tiga Desember,028,Jl. Budi Bakti - Tiga Desember,Kandangan,Tibung Raya - Kandangan Barat,Budi Bakti - Tiga Desember,59,028,220,Budi Bakti - Tiga Desember,AUTHORITATIVE_V1
10dca42e-3d77-5119-a93c-725df44e12e5,HSS-KAB-029,029,Jl. Jafri Zamzam,Jafri Zamzam,029,Jl. Jafri Zamzam,Kandangan,Ds. Amawang Kiri Muka,Jafri Zamzam,109,029,187,Jafri Zamzam,AUTHORITATIVE_V1
142c3991-bfb8-5dba-a769-1b33f0e75d97,HSS-KAB-030,030,Sungai Damang - Amawang Kiri,Sungai Damang - Amawang Kiri,030,Sungai Damang - Amawang Kiri,Kandangan,Ds. Sungai Paring - Ds. Bariang,Sungai Damang - Amawang Kiri,282,030,95,Sungai Damang - Amawang Kiri,AUTHORITATIVE_V1
b6930abb-0d46-52fe-a70b-1dd585b89608,HSS-KAB-031,031,Amawang Muka - Getek,Amawang Muka - Getek,031,Amawang Muka - Getek,Kandangan,Ds. Amawang Kiri Muka - Ds. Bariang,Amawang Muka - Getek,6,031,33,Amawang Muka - Getek,AUTHORITATIVE_V1
