source_system,source_record_id,source_name,bridge_source,road_key,canonical_display_name,match_method,match_status
dataset_ml_clean,65,Bakarung Tengah - Karang Jawa,historical_normative_workbook.nama_ruas,HSS-KAB-056,Bakarung Tengah - Karang Jawa,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,101,Balaimas - Hanau,historical_normative_workbook.nama_ruas,HSS-KAB-219,Balaimas - Hanau,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,137,Balanti - (Ex. P3DT),historical_normative_workbook.nama_ruas,HSS-KAB-251,Balanti - (Ex. P3DT),EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,154,Balimau - Murung Dalam,historical_normative_workbook.nama_ruas,HSS-KAB-256,Balimau - Murung Dalam,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,61,Baluti - Jambu Hulu (Paku),historical_normative_workbook.nama_ruas,HSS-KAB-040,Baluti - Jambu Hulu (Paku),EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,239,Bamban (Tibung) - Martajiwa,historical_normative_workbook.nama_ruas,HSS-KAB-191,Bamban (Tibung) - Martajiwa,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,116,Bamban Selatan - Pakuan,historical_normative_workbook.nama_ruas,HSS-KAB-176,Bamban Selatan - Pakuan,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,134,Bamban Selatan - Pakuan Balunan,historical_normative_workbook.nama_ruas,HSS-KAB-189,Bamban Selatan - Pakuan Balunan,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,70,Bamban Selatan - Tanggang - Panggang Hijau,historical_normative_workbook.nama_ruas,HSS-KAB-174,Bamban Selatan - Tanggang - Panggang Hijau,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,169,Bamban Tengah - Lok Nyiur,historical_normative_workbook.nama_ruas,HSS-KAB-181,Bamban Tengah - Lok Nyiur,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,112,Bamban Utara - Longawang,historical_normative_workbook.nama_ruas,HSS-KAB-177,Bamban Utara - Longawang,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,222,Bangga TMMD,historical_normative_workbook.nama_ruas,HSS-KAB-112,Bangga TMMD,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,31,Banua Hanyar - Ds. Tanjung Selor,historical_normative_workbook.nama_ruas,HSS-KAB-341,Banua Hanyar - Ds. Tanjung Selor,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,159,Banua Kambang - Ds. Wasah Tengah,historical_normative_workbook.nama_ruas,HSS-KAB-243,Banua Kambang - Ds. Wasah Tengah,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,114,Banyu Barau - Sei Kalang,historical_normative_workbook.nama_ruas,HSS-KAB-050,Banyu Barau - Sei Kalang,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,172,Bariang - Getek,historical_normative_workbook.nama_ruas,HSS-KAB-046,Bariang - Getek,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,141,Bariang - Patigan,historical_normative_workbook.nama_ruas,HSS-KAB-075,Bariang - Patigan,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,162,Baru - Asam Desa Baru,historical_normative_workbook.nama_ruas,HSS-KAB-125,Baru - Asam Desa Baru,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,102,Baru - Ds. Bajayau,historical_normative_workbook.nama_ruas,HSS-KAB-339,Baru - Ds. Bajayau,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,215,Batang Kulur Kanan - Batang Kulur Kiri,historical_normative_workbook.nama_ruas,HSS-KAB-130,Batang Kulur Kanan - Batang Kulur Kiri,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,143,Batang Kulur Kanan - Bumi Berkat (Kisung),historical_normative_workbook.nama_ruas,HSS-KAB-129,Batang Kulur Kanan - Bumi Berkat (Jl. Kisung),EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,109,Batang Kulur Kanan - Sarangan,historical_normative_workbook.nama_ruas,HSS-KAB-091,Batang Kulur Kanan - Sarangan,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,255,Batang Kulur Kiri - Durian Landung,historical_normative_workbook.nama_ruas,HSS-KAB-113,Batang Kulur Kiri - Durian Landung,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,55,Batu Laki - Muara Pipii,historical_normative_workbook.nama_ruas,HSS-KAB-154,Batu Laki - Muara Pipii,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,249,Bayampah - Tanuhi - Tugu Niih,historical_normative_workbook.nama_ruas,HSS-KAB-269,Bayampah - Tanuhi - Tugu Niih,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,86,Bayanan - Habirau Tengah,historical_normative_workbook.nama_ruas,HSS-KAB-289,Bayanan - Habirau Tengah,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,108,Bayanan - Pihanin,historical_normative_workbook.nama_ruas,HSS-KAB-306,Bayanan - Pihanin,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,324,Bina Bakat,historical_normative_workbook.nama_ruas,HSS-KAB-039,Bina Bakat,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,54,Binjai (Sirih Hulu) - Ds. Seranggan,historical_normative_workbook.nama_ruas,HSS-KAB-250,Binjai (Sirih Hulu) - Ds. Seranggan,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
