road_key,canonical_display_name,alias_name,source_system,alias_role
HSS-KAB-038,Samping Bappeda - Mesjid Darul Halik,Jl. Samping Bappeda - Mesjid Darul Halik,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-039,Bina Bakat,Jl. Bina Bakat,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-040,Baluti - Jambu Hulu (Paku),Baluti - Jambu Hulu (Paku),dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-040,Baluti - Jambu Hulu (Paku),Baluti - Jambu Hulu/Paku,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-041,Sp. 3 Baluti - Amawang,Sp. 3 Baluti - Amawang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-041,Sp. 3 Baluti - Amawang,SP.3 Baluti - Amawang,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-042,Sei Kupang Utara - Simp. Empat Lungau,Sei Kupang Utara - Simp. Empat Lungau,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-042,Sei Kupang Utara - Simp. Empat Lungau,Sei. Kupang Utara - SP.4 Lungau,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-043,Sp. Empat Lungau - Bangkau,Sp. Empat Lungau - Bangkau,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-043,Sp. Empat Lungau - Bangkau,SP.4 Lungau - Bangkau,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-044,Sp. Empat Lungau - Garis,Sp. Empat Lungau - Garis,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-044,Sp. Empat Lungau - Garis,Sp.4 Lungau - Garis,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-045,Gambir - Sp. Empat Lungau,Gambir - Sp. Empat Lungau,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-045,Gambir - Sp. Empat Lungau,Gambir -SP. Empat Lungau,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-046,Bariang - Getek,Bariang - Getek,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-047,Muara Banta - Karang Jawa,Muara Banta - Karang Jawa,dashboard_2025,IMPORT_SEARCH_ONLY
