road_key,source_system,source_name
HSS-KAB-035,qgis_county_roads,Jl. AES. Nasution
HSS-KAB-035,display,AES Nasution
HSS-KAB-036,dashboard_2025,Tembok Lama - Loklua
HSS-KAB-036,qgis_county_roads,Tembok Lama - Loklua
HSS-KAB-036,display,Tembok Lama - Loklua
HSS-KAB-037,dashboard_2025,Jl. Kesehatan - Komp. Rmh Dokter
HSS-KAB-037,qgis_county_roads,Jl. Kesehatan - Komp. Rumah Dokter
HSS-KAB-037,display,Kesehatan - Komp. Rmh Dokter
HSS-KAB-038,dashboard_2025,Jl. Samping Bappeda - Mesjid Darul Halik
HSS-KAB-038,qgis_county_roads,Jl. Samping Bappeda - Mesjid Darul Halik
HSS-KAB-038,display,Samping Bappeda - Mesjid Darul Halik
HSS-KAB-039,dashboard_2025,Jl. Bina Bakat
HSS-KAB-039,qgis_county_roads,Jl. Bina Bakat
HSS-KAB-039,display,Bina Bakat
HSS-KAB-040,dashboard_2025,Baluti - Jambu Hulu (Paku)
HSS-KAB-040,qgis_county_roads,Baluti - Jambu Hulu/Paku
HSS-KAB-040,display,Baluti - Jambu Hulu (Paku)
HSS-KAB-041,dashboard_2025,Sp. 3 Baluti - Amawang
HSS-KAB-041,qgis_county_roads,SP.3 Baluti - Amawang
HSS-KAB-041,display,Sp. 3 Baluti - Amawang
HSS-KAB-042,dashboard_2025,Sei Kupang Utara - Simp. Empat Lungau
HSS-KAB-042,qgis_county_roads,Sei. Kupang Utara - SP.4 Lungau
HSS-KAB-042,display,Sei Kupang Utara - Simp. Empat Lungau
HSS-KAB-043,dashboard_2025,Sp. Empat Lungau - Bangkau
HSS-KAB-043,qgis_county_roads,SP.4 Lungau - Bangkau
HSS-KAB-043,display,Sp. Empat Lungau - Bangkau
HSS-KAB-044,dashboard_2025,Sp. Empat Lungau - Garis
HSS-KAB-044,qgis_county_roads,Sp.4 Lungau - Garis
HSS-KAB-044,display,Sp. Empat Lungau - Garis
HSS-KAB-045,dashboard_2025,Gambir - Sp. Empat Lungau
HSS-KAB-045,qgis_county_roads,Gambir -SP. Empat Lungau
HSS-KAB-045,display,Gambir - Sp. Empat Lungau
HSS-KAB-046,dashboard_2025,Bariang - Getek
HSS-KAB-046,qgis_county_roads,Bariang - Getek
HSS-KAB-046,display,Bariang - Getek
HSS-KAB-047,dashboard_2025,Muara Banta - Karang Jawa
HSS-KAB-047,qgis_county_roads,Muara Banta - Karang Jawa
HSS-KAB-047,display,Muara Banta - Karang Jawa
HSS-KAB-048,dashboard_2025,Sungai Paring - Sei Hanyar Pantai Ulin
HSS-KAB-048,qgis_county_roads,Sungai Paring - Sei Hanyar Pantai Ulin
HSS-KAB-048,display,Sungai Paring - Sei Hanyar Pantai Ulin
HSS-KAB-049,dashboard_2025,Kandangan Hulu - Sp. Tabihi
HSS-KAB-049,qgis_county_roads,Kandangan Hulu - SP. Tabihi
HSS-KAB-049,display,Kandangan Hulu - Sp. Tabihi
HSS-KAB-050,dashboard_2025,Banyu Barau - Sei Kalang
HSS-KAB-050,qgis_county_roads,Banyu Barau - Sungai Kalang
HSS-KAB-050,display,Banyu Barau - Sei Kalang
HSS-KAB-051,dashboard_2025,Tibung Raya - Asam Cangkuk
HSS-KAB-051,qgis_county_roads,Tibung Raya - Asam Cangkok
HSS-KAB-051,display,Tibung Raya - Asam Cangkuk
HSS-KAB-052,dashboard_2025,Gambah Dalam - Rantauan
HSS-KAB-052,qgis_county_roads,Gambah Dalam - Rantauan
HSS-KAB-052,display,Gambah Dalam - Rantauan
HSS-KAB-053,dashboard_2025,Gambah Luar - Gambah Dalam
HSS-KAB-053,qgis_county_roads,Gambah Luar - Gambah Dalam
HSS-KAB-053,display,Gambah Luar - Gambah Dalam
HSS-KAB-054,dashboard_2025,Pegangsaan Timur - Teluk Aman
HSS-KAB-054,qgis_county_roads,Pegangsaan Timur - Teluk Aman
HSS-KAB-054,display,Pegangsaan Timur - Teluk Aman
HSS-KAB-055,dashboard_2025,Gambah Luar - Sungai Kudung
HSS-KAB-055,qgis_county_roads,Gambah Luar - Sungai Kudung
