no,nama_ruas,nama_ruas_norm,desa_yang_dilalui,kecamatan_yang_dilalui,jumlah_desa_yang_dilalui,jumlah_kecamatan_yang_dilalui,jumlah_penduduk_dilayani,terhubung_ruas_provinsi,terhubung_ruas_nasional,jarak_pasar_m,jarak_puskesmas_m,jarak_rsud_m,jarak_sd_smp_m,jarak_ibukota_m,akses_terputus_ibukota,akses_terputus_pasar,akses_terputus_puskesmas,akses_terputus_rsud,akses_terputus_sd_smp,prior_handled_any_pre2024,prior_handled_count_pre2024,prior_handled_last_year_pre2024,years_since_last_handled_pre2024,prior_handled_any_pre2025,prior_handled_count_pre2025,prior_handled_last_year_pre2025,years_since_last_handled_pre2025,prior_handled_any_pre2026,prior_handled_count_pre2026,prior_handled_last_year_pre2026,years_since_last_handled_pre2026,handled_any_2021,handled_any_2022,handled_any_2023,handled_any_2024,handled_any_2025,handled_pl_2021,handled_pl_2022,handled_pl_2023,handled_pl_2024,handled_pl_2025,handled_tender_2021,handled_tender_2022,handled_tender_2023,handled_tender_2024,handled_tender_2025,planned_any_2026,planned_any_2027,planned_pl_2026,planned_pl_2027,planned_tender_2026,planned_tender_2027,source_ml_road_id
41,Bariang - Getek,bariang – getek,"Amawang Kiri, Amawang Kiri Muka, Bariang",Kandangan,3,1,1903,0,0,3312.2,3299.3,3671.3,922.4,3167.3,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,046
42,Bariang - Patigan,bariang – patigan,"Amawang Kiri, Bariang",Kandangan,2,1,1164,0,0,4064.3,3949.4,4423.4,897,3919.4,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,075
43,Baru - Asam Desa Baru,baru – asam desa baru,"Asam, Baru (Sungai Raya)",Sungai Raya,2,1,743,0,0,3233.4,3264.1,10405.2,1686.5,12077.1,0,0,0,0,0,1,1,2023,1,1,2,2024,1,1,2,2024,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,125
44,Baru - Ds. Bajayau,baru – desa bajayau,Baru (Daha Barat),Daha Barat,1,1,330,0,0,3131.6,5196.5,11050,1557.1,41329.6,0,0,0,0,0,1,1,2023,1,1,2,2024,1,1,2,2024,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,339
45,Batang Kulur Kanan - Batang Kulur Kiri,batang kulur kanan – batang kulur kiri,"Batang Kulur Kiri, Batang Kulur Tengah",Sungai Raya,2,1,459,0,0,1554.6,1585.3,6402,1197.5,8073.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,130
46,Batang Kulur Kanan - Bumi Berkat (Kisung),batang kulur kanan – bumi berkat kisung,"Batang Kulur Kanan, Bumi Berkat",Sungai Raya,2,1,527,0,0,4542.8,4573.5,11710.7,2035.2,13382.6,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
47,Batang Kulur Kanan - Sarangan,batang kulur kanan – sarangan,"Batang Kulur Kanan, Ida Manggala",Sungai Raya,2,1,751,0,0,1424.6,1455.3,8596.5,1082.9,10268.4,0,0,0,0,0,1,2,2023,1,1,2,2023,2,1,2,2023,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,091
48,Batang Kulur Kiri - Durian Landung,batang kulur kiri – durian landung,"Batang Kulur Kiri, Paring Agung",Sungai Raya,2,1,643,0,0,1284.1,1314.8,6603.6,516.5,8275.5,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,113
49,Batu Laki - Muara Pipii,batu laki – muara pipii,Batu Laki,Padang Batung,1,1,507,0,0,22881.6,18931.9,25092,4485.5,24994.4,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
50,Bayampah - Tanuhi - Tugu Niih,bayampah – tanuhi – tugu niih,"Hulu Banyu, Loksado, Tumingki",Loksado,3,1,1058,1,0,29266.8,5229.2,31477.2,1499.1,31379.5,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
51,Bayanan - Habirau Tengah,bayanan – habirau tengah,"Bayanan, Habirau, Habirau Tengah, Parigi, Sungai Pinang, Tumbukan Banyu",Daha Selatan,6,1,4606,1,0,1430.4,0,2388.8,114.3,29002,0,0,0,0,0,1,1,2022,2,1,1,2022,3,1,1,2022,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,289
52,Bayanan - Pihanin,bayanan – pihanin,"Bayanan, Pandan Sari, Pihanin Raya",Daha Selatan,3,1,2075,0,0,1135.9,1027.3,705.3,197.1,27941.3,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306
53,Bina Bakat,bina bakat,Tibung Raya,Kandangan,1,1,938,0,0,920.9,1071,1065.3,210.7,1034,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,039
54,Binjai (Sirih Hulu) - Ds. Seranggan,binjai sirih hulu – desa seranggan,"Asam, Sirih Hulu","Kalumpang, Sungai Raya",2,2,701,0,1,6241.4,5437,12374.3,1268.6,13772.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
55,Biti - Sungai Kupang (Karya Bakti TNI),biti – sei kupang karya bakti tni,"Lungau, Sungai Kupang",Kandangan,2,1,1848,1,0,10112.4,9359.8,11521.3,939,9847.6,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,082
56,Brigjen Katamso,brigjen katamso,Kandangan Barat,Kandangan,1,1,1874,0,0,1351.3,1894.4,2726.1,0,1033,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,023
57,Bubuih - Ds. Halunuk,bubuih – desa halunuk,Halunuk,Loksado,1,1,303,0,1,14913.1,10870.4,17123.5,390,17025.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
58,Bubuih (Ds. Halunuk) - Kandihin,bubuih desa halunuk – kandihin,Halunuk,Loksado,1,1,303,0,0,16716.8,12674.1,18927.2,1391.2,18829.6,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,278
59,Budi Bakti - Tiga Desember,budi bakti – tiga desember,"Amawang Kiri Muka, Kandangan Barat, Tibung Raya",Kandangan,3,1,3551,0,1,1491.2,1641.3,2153.7,572.3,1254.7,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,028
60,Buluh - Ds. Tebing Tinggi,buluh – desa tebing tinggi,Tebing Tinggi,Simpur,1,1,404,0,1,2436.5,2727.7,9356.3,946.5,10735.8,0,0,0,0,0,1,1,2021,3,1,2,2024,1,1,2,2024,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,229
61,Bumi Berkat - Mungkur Galah,bumi berkat – mungkur galah,Bumi Berkat,Sungai Raya,1,1,259,0,0,4463,4493.7,11634.9,376.2,13306.7,0,0,0,0,0,0,0,,,1,1,2024,1,1,2,2025,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,092
62,Buntu Muara Hatib - Bts. Kab. HST,buntu muara hatib – bts kab hst,Hulu Banyu,Loksado,1,1,474,1,0,26934.3,8122.4,29144.7,1982.5,29047.1,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271
63,Cangkingan Herman,cangkingan herman,Panggandingan,Daha Utara,1,1,633,0,0,1258.9,795.3,2477.8,0,29090.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,331
64,Dahlia,dahlia,Kandangan Utara,Kandangan,1,1,1142,0,0,1768.8,197.4,3467.1,0,1604.2,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,015
65,Datar Belimbing - Muara Kitar,datar belimbing – muara kitar,"Hulu Banyu, Lumpangi",Loksado,2,1,859,0,0,30227.2,8413.6,32437.6,2459.5,32339.9,0,0,0,0,0,1,3,2023,1,1,3,2023,2,1,3,2023,3,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,280
66,DI. Panjaitan - Loklua,di panjaitan – loklua,"Baluti, Tibung Raya",Kandangan,2,1,2315,0,1,454.9,605,1552.9,35.3,745.4,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,033
67,Ds. Kapuh Tengah (Menuju Majelis Talim),desa kapuh tengah menuju majelis talim,"Kapuh, Wasah Tengah",Simpur,2,1,1247,0,0,3193.6,3103.3,3164,689.4,4562.7,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236
68,Firdaus - Ds. Kapuh,firdaus – desa kapuh,Kapuh,Simpur,1,1,682,0,0,2954.7,2864.4,3525,916.8,4923.6,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239
69,Galuntang Tayub - Ds. Madang,galuntang tayub – desa madang,Madang,Padang Batung,1,1,448,0,0,7191.3,7765.4,11936,1270.6,10334.7,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
70,Gambah Dalam - Rantauan,gambah dalam – rantauan,"Gambah Dalam, Gambah Luar",Kandangan,2,1,1348,1,,3498.6,2163.2,6008.8,845,4145.9,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,052
71,Gambah Dalam Barat - Mahulung,gambah dalam barat – mahulung,"Gambah Dalam Barat, Taniran Selatan","Angkinang, Kandangan",2,2,1084,1,0,5501,4435,7855.4,1269.8,5992.5,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,076
72,Gambah Luar - Gambah Dalam,gambah luar – gambah dalam,"Gambah Dalam, Gambah Luar Muka",Kandangan,2,1,1637,1,1,3537.8,2014.8,5299.5,697.1,3436.6,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,053
73,Gambah Luar - Sungai Kudung,gambah luar – sei kudung,Gambah Luar Muka,Kandangan,1,1,775,0,1,2824.3,1429.3,4911,113.6,3048.1,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,055
74,Gambir - Sp. Empat Lungau,gambir – sp empat lungau,"Amawang Kiri, Lungau",Kandangan,2,1,1503,0,0,6491.8,5365.4,7507,1638.9,6173.5,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,045
75,Gang Bidan (Ds. Tambak Bitin),gang bidan desa tambak bitin,"Panggandingan, Tambak Bitin",Daha Utara,2,1,1172,0,0,1245.2,609.9,2464.1,629.9,29077.2,0,0,0,0,0,1,3,2023,1,1,4,2024,1,1,5,2025,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,330
76,Garunggang - Hantamangu,garunggang – hantamangu,Garunggang,Simpur,1,1,313,0,0,1860.7,2224.4,7617.1,1155.9,8996.6,0,0,0,0,0,1,3,2023,1,1,3,2023,2,1,3,2023,3,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,220
77,Gerilya - Ds. Simpur,gerilya – desa simpur,"Simpur, Tebing Tinggi",Simpur,2,1,827,0,1,2082.5,1257.4,7886,568.8,9265.5,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
78,Gerilya / (Depan PUSTU Habirau),gerilya depan pustu habirau,Habirau,Daha Selatan,1,1,771,0,0,2087.4,657.1,3045.9,341.5,29659,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,297
79,Goha - Ds. Amawang Kanan,goha – desa amawang kanan,Amawang Kanan,Kandangan,1,1,630,0,0,2508.7,2658.7,2185.2,1236.8,2363.7,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,344
80,Gumbil - Masimpan,gumbil – masimpan,"Gumbil, Mandala",Telaga Langsat,2,1,1110,0,0,8342.9,2875.1,16421.6,404.8,14820.3,0,0,0,0,0,1,1,2023,1,1,2,2024,1,1,3,2025,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,196
81,Guru H. Izim - Ds. Pantai Ulin,guru h izim – desa pantai ulin,"Panjampang Bahagia, Pantai Ulin, Ulin",Simpur,3,1,1775,0,0,4802.4,2469.6,6511.4,1016.5,6676,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
82,H. Jarkasi - Ds. Sungai Paring,h jarkasi – desa sei paring,Sungai Paring,Kandangan,1,1,576,0,1,2541.1,2421.3,2900.2,285.2,2396.2,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,074
83,H. Saim Garunggang - Kalimput,h saim garunggang – kalimput,Garunggang,Simpur,1,1,313,0,0,2110.9,1506.2,7867.3,817.5,9246.8,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230
84,H.M. Thaib,h m thaib,Baruh Kembang,Daha Utara,1,1,870,1,0,2175.7,1937.1,3394.6,0,30007.7,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314
85,Habib,habib,Sungai Pinang,Daha Selatan,1,1,706,0,0,1239.3,413.9,2322,75.5,28935.1,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294
86,Habib Ibrahim - Ds. Sei Mandala,habib ibrahim – desa sei mandala,Sungai Mandala,Daha Utara,1,1,489,1,0,609.3,370.6,1828.1,75,28441.3,0,0,0,0,0,0,0,,,0,0,,,1,1,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,319
87,Hakurung Dalam - Ds. Sungai Haji,hakurung dalam – desa sei haji,Hakurung,Daha Utara,1,1,670,0,0,9408.8283,9355,14749.7,139.7,41472.5,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337
88,Halaban,halaban,"Amparaya, Garunggang",Simpur,2,1,903,0,0,2999,3569.4,8755.4,786,9035.9,0,0,0,0,0,1,3,2023,1,1,3,2023,2,1,3,2023,3,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,213
89,Halayung - Hantarukung,halayung – hantarukung,"Ulin, Wasah Hilir",Simpur,2,1,1354,0,0,2693.7,1953.7,5995.5,1377.9,6160.2,0,0,0,0,0,1,3,2023,1,1,4,2024,1,1,4,2024,2,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,203
90,Halunuk - Riam Tajam/Talo - Hamak Umpaya,halunuk – riam tajam talo – hamak umpaya,"Halunuk, Hamak Utara, Panggungan","Loksado, Telaga Langsat",3,2,810,0,1,18029.7,13987,20240.1,409.1,20142.5,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,266
91,Hamak - Umbai,hamak – umbai,Hamak,Telaga Langsat,1,1,166,0,0,23529,19486.3,25739.4,2928.3,25641.8,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,198
92,Hamak Timur - Umpaya,hamak timur – umpaya,"Hamak Timur, Hamak Utara",Telaga Langsat,2,1,622,0,0,20707.8,16665,22918.2,1957.6,22820.5,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,197
93,Hamak Utara - Samaragi,hamak utara – samaragi,Hamak Timur,Telaga Langsat,1,1,251,0,0,17179.1,13136.4,19389.5,558.3,19291.8,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
94,Hamalau - Anjiran,hamalau – anjiran,"Hamalau, Telaga Bidadari",Sungai Raya,2,1,1505,0,0,2537.2,2687.3,910.5,858.4,2582.3,0,0,0,0,0,1,1,2023,1,1,2,2024,1,1,3,2025,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,086
95,Hamalau - Asam Cangkok,hamalau – asam cangkok,"Amawang Kanan, Telaga Bidadari","Kandangan, Sungai Raya",2,2,1298,0,0,2325.9,2475.9,1443.4,1418.4,2371,0,0,0,0,0,0,0,,,0,0,,,1,1,2025,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118
96,Hamalau - Ganda,hamalau – ganda,"Baluti, Hamalau, Pahampangan","Kandangan, Padang Batung, Sungai Raya",3,3,2554,0,0,2409.4,2559.5,1239.3,370.5,2727.8,0,0,0,0,0,1,1,2023,1,1,2,2024,1,1,2,2024,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,106
97,Hamalau - Pahampangan,hamalau – pahampangan,"Hamalau, Karasikan",Sungai Raya,2,1,1245,0,1,2781.2,2931.3,1637.8,705.9,3099.5,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,098
98,Hamalau - Telaga Bidadari - Wasah Hilir,hamalau – telaga bidadari – wasah hilir,"Hamalau, Kapuh, Telaga Bidadari, Wasah Hilir","Simpur, Sungai Raya",4,2,2916,0,1,2573.5,2569.4,3230,535.6,4628.6,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102
99,Hamayung - Hakurung Dalam,hamayung – hakurung dalam,"Hakurung, Hamayung",Daha Utara,2,1,1435,1,0,9408.8,11892.5,17293.2,87.8,43906.3,0,0,0,0,0,1,2,2023,1,1,2,2023,2,1,2,2023,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,334
100,Harapan (SDN Habirau II)/ Sei. Palangan,harapan sdn habirau ii sei palangan,Habirau Tengah,Daha Selatan,1,1,741,0,0,2252,901.6,3290.5,0,29903.6,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298
101,Haratai 2 (Balai Ujung Atas) SDN Haratai2,haratai 2 balai ujung atas sdn haratai2,"Haratai, Ulang",Loksado,2,1,501,0,0,38688.8,4781.2,40899.2,918.1,40801.6,0,0,0,0,0,1,1,2022,2,1,2,2024,1,1,2,2024,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,277
102,Haratai 3 (Balai Kedayang) / SDN Haratai 3,haratai 3 balai kedayang sdn haratai 3,Haratai,Loksado,1,1,235,0,0,41201.5,7293.9,43411.9,1185.3,43314.3,0,0,0,0,0,1,3,2023,1,1,3,2023,2,1,3,2023,3,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,276
103,Haritas (PT. Pertani),haritas pt pertani,"Batang Kulur Tengah, Hariti",Sungai Raya,2,1,424,0,1,3313.7,1973.7,6467.9,0,8139.8,0,0,0,0,0,1,1,2021,3,1,1,2021,4,1,1,2021,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110
104,Hariti - Sungai Raya Selatan,hariti – sei raya selatan,"Batang Kulur Kiri, Hariti, Sungai Raya Selatan",Sungai Raya,3,1,1055,0,1,3751.3,3431.5,7925.7,1826.6,9597.5,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119
105,Hulu Banyu - Datar Mangkung - Tumingki,hulu banyu – datar mangkung – tumingki,Tumingki,Loksado,1,1,238,0,0,33381.9,3247.9,35592.3,1965.4,35494.7,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273
106,Hulu Banyu - Pantai Langsat,hulu banyu – pantai langsat,Hulu Banyu,Loksado,1,1,474,1,0,25538.1,10172.5,27748.5,827.3,27650.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268
107,Ida Manggala - Padang Makmur,ida manggala – padang makmur,"Ida Manggala, Malutu","Padang Batung, Sungai Raya",2,2,1048,0,1,4947.1,4916.4,10139.1,2876.1,11810.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,099
108,Inst. PDAM Negara,inst pdam negara,Habirau,Daha Selatan,1,1,771,0,0,1594.2,320.5,2709.3,294.8,29322.4,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296
109,Jafri Zamzam,jafri zamzam,"Amawang Kanan, Amawang Kiri Muka, Bariang",Kandangan,3,1,1747,0,0,1961.9,2111.9,2320.9,690,1816.9,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,2,2025,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,029
110,Jambu Hulu - Paku Pantai,jambu hulu – paku pantai,Jambu Hulu,Padang Batung,1,1,551,0,0,3614.8,2775.1,5309.1,942.1,5462.2,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
111,Jangkang - Ds. Wasah Hilir,jangkang – desa wasah hilir,Wasah Hilir,Simpur,1,1,729,0,1,373.9,1215.8,6177.5,446.5,7557,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233
112,Jangkang - Pantai Ulin,jangkang – pantai ulin,"Amawang Kiri, Pantai Ulin, Sungai Paring","Kandangan, Simpur",3,2,2070,0,0,5873,4693.4,6888.2,966.9,5554.7,0,0,0,0,0,1,2,2023,1,1,2,2023,2,1,2,2023,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,062
113,Jarau - Parandakan,jarau – parandakan,Ida Manggala,Sungai Raya,1,1,483,0,0,3231.6,3262.3,9659.2,724.1,11331,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127
114,Jend. Sudirman,jend sudirman,"Hamalau, Tibung Raya","Kandangan, Sungai Raya",2,2,1775,0,1,1696.8,1846.9,121,789.3,1741.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,034
115,Kacang Parang (Ulang) - Balai Mawak-Kias,kacang parang ulang – balai mawak – kias,"Sungai Kupang, Tawia","Angkinang, Kandangan",2,2,2100,0,0,37625,16570.9,39835.4,3384.4,39737.8,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284
116,Kacang Parang (Ulang) - Balai Wariung,kacang parang ulang – balai wariung,Ulang,Loksado,1,1,266,0,0,35944,14889.9,38154.4,1703.4,38056.7,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
117,Kalaka Dayuh - Ds. Sungai Raya Utara,kalaka dayuh – desa sei raya utara,Ulang,Loksado,1,1,266,0,0,4245.8,1365.4,3635.4,287.1,5307.2,0,0,0,0,0,1,1,2022,2,1,2,2024,1,1,2,2024,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,134
118,Kalaka Indah - Perumnas Tibung,kalaka indah – perumnas tibung,Sungai Raya Utara,Sungai Raya,1,1,393,0,0,1902.6,2052.7,1348.7,1070.9,2220.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,065
119,Kalimput Desa Wasah Hilir,kalimput desa wasah hilir,Hamalau,Sungai Raya,1,1,837,0,0,742.3,2005.6,6498.7,37.5,7878.2,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215
120,Kaliring - Sp. Padang Batung,kaliring – sp padang batung,"Garunggang, Wasah Hilir",Simpur,2,1,1042,0,1,2835.6,2319.8,7322.6,1408,5721.3,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,144
121,Kalumpang - Balimau,kalumpang – balimau,"Kaliring, Padang Batung",Padang Batung,2,1,952,0,1,5176.3,2782.4,15690,1306.6,17069.5,0,0,0,0,0,1,1,2023,1,1,2,2024,1,1,3,2025,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,247
122,Kalumpang - Baruh,kalumpang – baruh,"Bago Tanggul, Balanti, Balimau, Kalumpang, Karang Bulan",Kalumpang,5,1,1270,0,1,3242.8,1603.3,13554.9,1216.1,14934.4,0,0,0,0,0,1,1,2021,3,1,1,2021,4,1,1,2021,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
