road_key,road_geometry_id,source_road_code,source_object_id_nonunique,candidate_nomor_ruas,identity_match_status,display_name,village_count_spatial,villages_spatial,district_count_spatial,districts_spatial
HSS-KAB-168,hss-county-168,168,135,168,exact_normalized,Taniran Selatan - Rantauan,3,Bakarung; Gambah Luar; Taniran Selatan,2,Angkinang; Kandangan
HSS-KAB-169,hss-county-169,169,107,179,exact_normalized,Bakarung - Tabihi -Karang Jawa,4,Bakarung; Karang Jawa; Karang Jawa Muka; Tabihi,2,Angkinang; Padang Batung
HSS-KAB-170,hss-county-170,170,137,170,exact_normalized,Pandulangan - Kalinduku,2,Pandulangan; Telaga Sili-Sili,2,Angkinang; Padang Batung
HSS-KAB-171,hss-county-171,171,138,171,exact_normalized,Taniran Selatan Kubah - Buntut Taniran/Wawaran,4,Bakarung; Sungai Kupang; Taniran Kubah; Taniran Selatan,2,Angkinang; Kandangan
HSS-KAB-172,hss-county-172,172,139,172,exact_normalized,Angkinang Selatan - Tawia - Wawaran,4,Angkinang Selatan; Bakarung; Taniran Kubah; Tawia,1,Angkinang
HSS-KAB-173,hss-county-173,173,140,173,exact_normalized,Tawia - Kayu Abang,3,Angkinang; Kayu Abang; Tawia,1,Angkinang
HSS-KAB-174,hss-county-174,174,142,174,treatment_engine_alias,Bamban Selatan - Tangang - Panggang Hijau,3,Bamban; Bamban Selatan; Kayu Abang,1,Angkinang
HSS-KAB-175,hss-county-175,175,143,175,exact_normalized,Angkinang - Telaga Langsat,5,Angkinang; Angkinang Selatan; Lok Binuang; Mandala; Telaga Langsat,2,Angkinang; Telaga Langsat
HSS-KAB-176,hss-county-176,176,144,176,exact_normalized,Bamban Selatan - Pakuan,3,Angkinang; Bamban Selatan; Pakuan Timur,2,Angkinang; Telaga Langsat
HSS-KAB-177,hss-county-177,177,145,177,exact_normalized,Bamban Utara - Longawang,3,Bamban Utara; Longawang; Pandulangan,2,Angkinang; Telaga Langsat
HSS-KAB-178,hss-county-178,178,141,178,exact_normalized,Angkinang - Kayu Abang - Panggang Hijau,3,Angkinang; Kayu Abang; Tawia,1,Angkinang
HSS-KAB-179,hss-county-179,179,147,,unresolved,SP. Mandampa Telaga Sili-Sili - SP. Sungai Bungur,3,Angkinang; Pandulangan; Telaga Sili-Sili,2,Angkinang; Padang Batung
HSS-KAB-180,hss-county-180,180,148,180,exact_normalized,Sungai Kudung - Kalinduku,2,Bakarung; Telaga Sili-Sili,1,Angkinang
HSS-KAB-181,hss-county-181,181,150,181,exact_normalized,Bamban Tengah - Lok Nyiur,2,Bamban; Kayu Abang,1,Angkinang
HSS-KAB-182,hss-county-182,182,47,182,treatment_engine_alias,Simp. Bakarung Selatan - Sungai Kudung,2,Gambah Luar Muka; Tabihi,2,Kandangan; Padang Batung
HSS-KAB-183,hss-county-183,183,153,183,exact_normalized,Jl.Panggang Hijau - DsTawar,2,Sungai Kupang; Tawia,2,Angkinang; Kandangan
HSS-KAB-184,hss-county-184,184,154,184,exact_normalized,Taniran Tengah - Taniran Selatan,2,Taniran Kubah; Taniran Selatan,1,Angkinang
HSS-KAB-185,hss-county-185,185,1214,185,exact_normalized,Jl. Kayu Abang - Ds. Anjiran,2,Bamban; Kayu Abang,1,Angkinang
HSS-KAB-186,hss-county-186,186,158,186,exact_normalized,Jl. Rel Angkinang - TMMD Angkinang,3,Angkinang Selatan; Taniran Kubah; Tawia,1,Angkinang
HSS-KAB-187,hss-county-187,187,143,187,exact_normalized,Jl. AMD - Ds. Lok Binuang,2,Lok Binuang; Telaga Langsat,1,Telaga Langsat
HSS-KAB-188,hss-county-188,188,159,,unresolved,Jl. Pandan Sari,1,Angkinang,1,Angkinang
HSS-KAB-189,hss-county-189,189,347,199,exact_normalized,Jl. Bamban Selatan - Pakuan Balunan,1,Bamban Selatan,1,Angkinang
HSS-KAB-190,hss-county-190,190,346,190,exact_normalized,Jl. Kayu Abang - Paya,1,Kayu Abang,1,Angkinang
HSS-KAB-191,hss-county-191,191,347,191,exact_normalized,Jl. Bamban (Tibung) - Martajiwa,1,Bamban,1,Angkinang
HSS-KAB-192,hss-county-192,192,0,192,exact_normalized,Jl. Rantauan - Sungai Baru (Jl. Pulau),3,Bakarung; Gambah Luar; Taniran Selatan,2,Angkinang; Kandangan
HSS-KAB-193,hss-county-193,193,160,193,exact_normalized,Telaga Langsat - Pakuan Timur,3,Mandala; Pakuan Timur; Telaga Langsat,1,Telaga Langsat
HSS-KAB-194,hss-county-194,194,161,194,exact_normalized,Longawang - Gumbil,2,Gumbil; Longawang,1,Telaga Langsat
HSS-KAB-195,hss-county-195,195,149,195,exact_normalized,Mandampa - Longawang,3,Lok Binuang; Longawang; Pakuan Timur,1,Telaga Langsat
HSS-KAB-196,hss-county-196,196,162,196,exact_normalized,Gumbil - Masimpan,2,Gumbil; Mandala,1,Telaga Langsat
HSS-KAB-197,hss-county-197,197,166,197,exact_normalized,Hamak Timur - Umpaya,2,Hamak Timur; Hamak Utara,1,Telaga Langsat
HSS-KAB-198,hss-county-198,198,169,198,exact_normalized,Jl. Hamak - Umbai,1,Hamak,1,Telaga Langsat
HSS-KAB-199,hss-county-199,199,169,199,exact_normalized,Jl. Hamak Utara - Samaragi,1,Hamak Timur,1,Telaga Langsat
HSS-KAB-200,hss-county-200,200,350,200,exact_normalized,Jl. Umpaya - Tumarin,1,Hamak Utara,1,Telaga Langsat
HSS-KAB-201,hss-county-201,201,0,201,exact_normalized,Jl. Sungai Durian - Ds. Gumbil,1,Gumbil,1,Telaga Langsat
HSS-KAB-202,hss-county-202,202,349,202,exact_normalized,Jl. Pantai Langsat - Umpaya,2,Hamak Utara; Hulu Banyu,2,Loksado; Telaga Langsat
HSS-KAB-203,hss-county-203,203,171,203,exact_normalized,Jl. Halayung - Hantarukung,2,Ulin; Wasah Hilir,1,Simpur
HSS-KAB-204,hss-county-204,204,182,204,exact_normalized,Wasah Hulu - Amparaya - Simpur,6,Amparaya; Garunggang; Panjampang Bahagia; Simpur; Ulin; Wasah Hulu,1,Simpur
HSS-KAB-205,hss-county-205,205,175,205,exact_normalized,Wasah Hilir - Sarang Halang,2,Sarang Halang; Wasah Hilir,2,Simpur; Sungai Raya
HSS-KAB-206,hss-county-206,206,176,206,treatment_engine_alias,Simpur - Simpang Bilui,1,Simpur,1,Simpur
HSS-KAB-207,hss-county-207,207,177,207,exact_normalized,Simpur - SP.3 Muara Paring Agung,4,Asam; Baru; Simpur; Sungai Kali,2,Simpur; Sungai Raya
HSS-KAB-208,hss-county-208,208,178,208,exact_normalized,Wasah Tengah - Sungai Tarap,3,Kapuh; Sarang Halang; Wasah Tengah,2,Simpur; Sungai Raya
HSS-KAB-209,hss-county-209,209,180,209,exact_normalized,Wasah Hilir - Amparaya,2,Panjampang Bahagia; Wasah Hilir,1,Simpur
HSS-KAB-210,hss-county-210,210,181,210,exact_normalized,Panjampang Bahagia - Bayur,3,Amparaya; Panjampang Bahagia; Pantai Ulin,1,Simpur
HSS-KAB-211,hss-county-211,211,183,211,exact_normalized,Ulin - Tanggul (Balai Mas),2,Pantai Ulin; Ulin,1,Simpur
HSS-KAB-212,hss-county-212,212,184,212,exact_normalized,Panjampang Bahagia - Hanau,2,Amparaya; Panjampang Bahagia,1,Simpur
HSS-KAB-213,hss-county-213,213,185,213,exact_normalized,Jl. Halaban,2,Amparaya; Garunggang,1,Simpur
HSS-KAB-214,hss-county-214,214,186,214,exact_normalized,Jl. Amparaya-Karangan - Hanau,2,Amparaya; Panjampang Bahagia,1,Simpur
HSS-KAB-215,hss-county-215,215,674,215,exact_normalized,Jl. Kalimput Ds. Wasah Hilir,2,Garunggang; Wasah Hilir,1,Simpur
HSS-KAB-216,hss-county-216,216,191,216,exact_normalized,Jl. Sungai Kacil I - Kapuh Padang,2,Kapuh; Wasah Hilir,1,Simpur
HSS-KAB-217,hss-county-217,217,191,217,exact_normalized,Jl. Sungai Kacil II,1,Wasah Hilir,1,Simpur
HSS-KAB-218,hss-county-218,218,1927,218,exact_normalized,Jl. Papagaran - Ds. Amawang Kanan,1,Amawang Kanan,1,Kandangan
HSS-KAB-219,hss-county-219,219,193,219,exact_normalized,Jl. Balaimas - Hanau,2,Panjampang Bahagia; Pantai Ulin,1,Simpur
HSS-KAB-220,hss-county-220,220,194,220,exact_normalized,Garunggang - Hantamangu,1,Garunggang,1,Simpur
HSS-KAB-221,hss-county-221,221,195,,unresolved,Jl. KH. Ramli,1,Amparaya,1,Simpur
HSS-KAB-222,hss-county-222,222,196,,unresolved,Jl. Tungkaran,2,Ulin; Wasah Hulu,1,Simpur
HSS-KAB-223,hss-county-223,223,197,,unresolved,Jl. Mondar (Ulin - Pantai Ulin),2,Pantai Ulin; Ulin,1,Simpur
HSS-KAB-224,hss-county-224,224,198,224,exact_normalized,Jl. Pendawa - Ds. Tebing Tinggi,1,Tebing Tinggi,1,Simpur
HSS-KAB-225,hss-county-225,225,199,,unresolved,Jl. Mangamol,2,Pantai Ulin; Ulin,1,Simpur
HSS-KAB-226,hss-county-226,226,200,,unresolved,Jl. Guru H. Izim,3,Panjampang Bahagia; Pantai Ulin; Ulin,1,Simpur
HSS-KAB-227,hss-county-227,227,351,,unresolved,Jl. Rawati,2,Amparaya; Panjampang Bahagia,1,Simpur
HSS-KAB-228,hss-county-228,228,352,228,exact_normalized,Jl. Pianggu,2,Amparaya; Wasah Hilir,1,Simpur
HSS-KAB-229,hss-county-229,229,353,229,exact_normalized,Jl. Buluh Ds. Tebing Tinggi,1,Tebing Tinggi,1,Simpur
HSS-KAB-230,hss-county-230,230,354,,unresolved,Jl. H. Saim/Garunggang,1,Garunggang,1,Simpur
HSS-KAB-231,hss-county-231,231,0,231,exact_normalized,Jl. Padang Haur - Ds. Wasah Tengah,2,Ulin; Wasah Tengah,1,Simpur
HSS-KAB-232,hss-county-232,232,0,232,exact_normalized,Jl. Gerilya Ds. Simpur,2,Simpur; Tebing Tinggi,1,Simpur
HSS-KAB-233,hss-county-233,233,0,233,exact_normalized,Jl. Jangkang - Ds. Wasah Hilir,1,Wasah Hilir,1,Simpur
HSS-KAB-234,hss-county-234,234,0,,unresolved,Jl. Air Miris,2,Wasah Hilir; Wasah Tengah,1,Simpur
HSS-KAB-235,hss-county-235,235,0,,unresolved,Tandik - Wasah Hilir,2,Kapuh; Wasah Tengah,1,Simpur
HSS-KAB-236,hss-county-236,236,0,236,exact_normalized,Jl. Ds. Kapuh Tengah (Jl. Menuju Majelis Taklim),2,Kapuh; Wasah Tengah,1,Simpur
HSS-KAB-237,hss-county-237,237,0,,unresolved,Jl. Karampaci,2,Kapuh; Wasah Tengah,1,Simpur
HSS-KAB-238,hss-county-238,238,0,,unresolved,Jl. At-Taubah,1,Kapuh,1,Simpur
HSS-KAB-239,hss-county-239,239,0,,unresolved,Jl. Firdaus,1,Kapuh,1,Simpur
HSS-KAB-240,hss-county-240,240,0,240,exact_normalized,Jl. Slasa Garih - Ds. Kapuh,2,Kapuh; Telaga Bidadari,2,Simpur; Sungai Raya
HSS-KAB-241,hss-county-241,241,0,241,exact_normalized,Jl. Palas - Ds. Wasah Tengah,2,Kapuh; Wasah Tengah,1,Simpur
HSS-KAB-242,hss-county-242,242,176,242,exact_normalized,Jl. Tanah Habang - Ds. Simpur,2,Simpur; Wasah Hilir,1,Simpur
HSS-KAB-243,hss-county-243,243,0,,unresolved,Jl. Banua Kambang,2,Wasah Hulu; Wasah Tengah,1,Simpur
HSS-KAB-244,hss-county-244,244,0,,unresolved,Jl. Pajah Api,2,Kapuh; Wasah Tengah,1,Simpur
HSS-KAB-245,hss-county-245,245,0,,unresolved,Jl. Telapak Manuk,2,Kapuh; Wasah Hulu,1,Simpur
HSS-KAB-246,hss-county-246,246,201,246,exact_normalized,Sirih - Taro,1,Sirih,1,Kalumpang
HSS-KAB-247,hss-county-247,247,202,247,exact_normalized,Kalumpang - Balimau,5,Bago Tanggul; Balanti; Balimau; Kalumpang; Karang Bulan,1,Kalumpang
HSS-KAB-248,hss-county-248,248,205,248,treatment_engine_alias,Kalumpang (Ds. Belanti) - Teratai,2,Balanti; Kalumpang,1,Kalumpang
HSS-KAB-249,hss-county-249,249,212,249,exact_normalized,Jl. Bago Tanggul - Katilang - Teratai,4,Bago Tanggul; Balanti; Kalumpang; Karang Bulan,1,Kalumpang
HSS-KAB-250,hss-county-250,250,208,250,exact_normalized,Jl. Binjai (Sirih Hulu) - Ds. Seranggan,2,Asam; Sirih Hulu,2,Kalumpang; Sungai Raya
HSS-KAB-251,hss-county-251,251,204,251,exact_normalized,Jl. Balanti - (Ex. P3DT),2,Balanti; Karang Bulan,1,Kalumpang
HSS-KAB-252,hss-county-252,252,213,252,exact_normalized,Kalumpang - Baruh,2,Kalumpang; Sirih,1,Kalumpang
HSS-KAB-253,hss-county-253,253,215,253,exact_normalized,Sirih - Pacakan,1,Sirih,1,Kalumpang
HSS-KAB-254,hss-county-254,254,94,254,exact_normalized,SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang,4,Asam; Sirih; Sirih Hulu; Tamiyang,2,Kalumpang; Sungai Raya
HSS-KAB-255,hss-county-255,255,2465,255,exact_normalized,Jl. Kalumpang Selatan - Ds. Asam Tamiyang,2,Asam; Tamiyang,1,Sungai Raya
HSS-KAB-256,hss-county-256,256,614,256,exact_normalized,Jl. Balimau - Murung Dalam,1,Balimau,1,Kalumpang
HSS-KAB-257,hss-county-257,257,614,,unresolved,Jl. Karya Bakti TNI - Ds. Balimau,1,Balimau,1,Kalumpang
HSS-KAB-258,hss-county-258,258,222,258,exact_normalized,Tanuhi - Ulang,2,Hulu Banyu; Ulang,1,Loksado
HSS-KAB-259,hss-county-259,259,223,259,exact_normalized,Loksado - Loklahung,2,Lok Lahung; Loksado,1,Loksado
HSS-KAB-260,hss-county-260,260,224,260,exact_normalized,Loksado - Haratai,2,Haratai; Loksado,1,Loksado
HSS-KAB-261,hss-county-261,261,225,261,exact_normalized,Loklahung - Kamawakan,3,Kamawakan; Lok Lahung; Tumingki,1,Loksado
HSS-KAB-262,hss-county-262,262,227,262,exact_normalized,Jl. Niagara (Ds. Halunuk) - Ayan,1,Halunuk,1,Loksado
HSS-KAB-263,hss-county-263,263,228,263,exact_normalized,Malinau - Katingin - Kamawakan,3,Kamawakan; Malinau; Tumingki,1,Loksado
HSS-KAB-264,hss-county-264,264,230,264,exact_normalized,Loklahung - Malaris,1,Lok Lahung,1,Loksado
HSS-KAB-265,hss-county-265,265,234,265,treatment_engine_alias,Jl. Bubuih (Ds. Halunuk),1,Halunuk,1,Loksado
HSS-KAB-266,hss-county-266,266,165,266,exact_normalized,Halunuk - Riam Tajam/Talo - Hamak Umpaya,3,Halunuk; Hamak Utara; Panggungan,2,Loksado; Telaga Langsat
HSS-KAB-267,hss-county-267,267,237,267,exact_normalized,Jl. Muara Kitar - Ds. Lumpangi,1,Lumpangi,1,Loksado
HSS-KAB-268,hss-county-268,268,349,268,exact_normalized,Jl. Hulu Banyu - Pantai Langsat,1,Hulu Banyu,1,Loksado
HSS-KAB-269,hss-county-269,269,244,269,exact_normalized,Jl. Bayampah - Tanuhi - Tugu Niih,3,Hulu Banyu; Loksado; Tumingki,1,Loksado
HSS-KAB-270,hss-county-270,270,261,270,exact_normalized,Jl. Kantor Camat Loksado II,1,Loksado,1,Loksado
HSS-KAB-271,hss-county-271,271,356,,unresolved,Jl. Buntu Muara Hatib,1,Hulu Banyu,1,Loksado
HSS-KAB-272,hss-county-272,272,947,272,exact_normalized,Jl. Tanuhi - Hulu Banyu,2,Hulu Banyu; Tumingki,1,Loksado
HSS-KAB-273,hss-county-273,273,226,273,exact_normalized,Hulu Banyu - Datar Mangkung -Tumingki,1,Tumingki,1,Loksado
HSS-KAB-274,hss-county-274,274,221,274,exact_normalized,Lambuk - Ds. Tumingki,1,Tumingki,1,Loksado
HSS-KAB-275,hss-county-275,275,230,275,exact_normalized,Malaris - Loapanggang,1,Lok Lahung,1,Loksado
HSS-KAB-276,hss-county-276,276,255,276,exact_normalized,Jl. Haratai 3 (Balai Kedayang) / SDN Haratai 3,1,Haratai,1,Loksado
HSS-KAB-277,hss-county-277,277,233,,unresolved,Jl. Haratai 2 (SDN Haratai2),2,Haratai; Ulang,1,Loksado
HSS-KAB-278,hss-county-278,278,234,,unresolved,Jl. Bubuih - Kandihin,1,Halunuk,1,Loksado
HSS-KAB-279,hss-county-279,279,238,279,exact_normalized,Jl. Makam Habib Ds. Lumpangi,1,Lumpangi,1,Loksado
HSS-KAB-280,hss-county-280,280,237,280,exact_normalized,Jl. Datar Belimbing - Muara Kitar,2,Hulu Banyu; Lumpangi,1,Loksado
HSS-KAB-281,hss-county-281,281,779,281,exact_normalized,Jl. Tanginau - Balai Haruyan,2,Kamawakan; Tumingki,1,Loksado
HSS-KAB-282,hss-county-282,282,357,282,exact_normalized,Jl. Tataian - (Ds. Ulang) - Loksado,1,Ulang,1,Loksado
HSS-KAB-283,hss-county-283,283,357,283,exact_normalized,Jl. Ulang - Kacang Parang,1,Ulang,1,Loksado
HSS-KAB-284,hss-county-284,284,357,284,exact_normalized,Jl. Kacang Parang (Ulang) - Balai Mawak-Kias,1,Ulang,1,Loksado
HSS-KAB-285,hss-county-285,285,357,285,exact_normalized,Jl. Kacang Parang (Ulang) - Balai Wariung,1,Ulang,1,Loksado
HSS-KAB-286,hss-county-286,286,261,286,exact_normalized,Jl. Loksado - Pantai Dusin,2,Loksado; Tumingki,1,Loksado
HSS-KAB-287,hss-county-287,287,254,287,exact_normalized,Jl. Malinau - Kandihin,2,Halunuk; Malinau,1,Loksado
HSS-KAB-288,hss-county-288,288,222,288,exact_normalized,Ulang - Bangkaun,1,Ulang,1,Loksado
HSS-KAB-289,hss-county-289,289,262,289,exact_normalized,Bayanan - Habirau Tengah,6,Bayanan; Habirau; Habirau Tengah; Parigi; Sungai Pinang; Tumbukan Banyu,1,Daha Selatan
HSS-KAB-290,hss-county-290,290,263,290,exact_normalized,Tumbukan Banyu - Banua Hanyar,6,Banua Hanyar; Habirau; Habirau Tengah; Parigi; Sungai Pinang; Tumbukan Banyu,1,Daha Selatan
HSS-KAB-291,hss-county-291,291,276,291,exact_normalized,Jl. Satria,1,Tumbukan Banyu,1,Daha Selatan
HSS-KAB-292,hss-county-292,292,265,,unresolved,Musyawarah (Nagara),1,Tumbukan Banyu,1,Daha Selatan
HSS-KAB-293,hss-county-293,293,266,,unresolved,Sekolah Islam (Sungai Pinang),1,Sungai Pinang,1,Daha Selatan
HSS-KAB-294,hss-county-294,294,277,294,exact_normalized,Jl. Habib,1,Sungai Pinang,1,Daha Selatan
HSS-KAB-295,hss-county-295,295,267,,unresolved,Mawar (Daha Selatan),1,Sungai Pinang,1,Daha Selatan
HSS-KAB-296,hss-county-296,296,278,,unresolved,Jl. Instalasi PDAM Negara,1,Habirau,1,Daha Selatan
HSS-KAB-297,hss-county-297,297,284,297,exact_normalized,Jl. Gerilya / (Depan Pustu Habirau),1,Habirau,1,Daha Selatan
HSS-KAB-298,hss-county-298,298,283,298,exact_normalized,Jl. Harapan (SDN Habirau II)/Sei. Palangan,1,Habirau Tengah,1,Daha Selatan
HSS-KAB-299,hss-county-299,299,268,299,exact_normalized,Samuda - Bajayau,5,Badaun; Bajayau; Baru; Samuda; Siang Gantung,2,Daha Barat; Daha Selatan
HSS-KAB-300,hss-county-300,300,361,300,exact_normalized,Jl. Tambangan - Ds. Baruh Jaya,2,Baruh Jaya; Tambangan,1,Daha Selatan
HSS-KAB-301,hss-county-301,301,273,301,exact_normalized,Jl. Muning Tengah - Batang Alai (Pihanin Raya),2,Muning Tengah; Pihanin Raya,1,Daha Selatan
HSS-KAB-302,hss-county-302,302,272,,unresolved,Jl. Muning Tengah - Muning Dalam,2,Muning Dalam; Muning Tengah,1,Daha Selatan
HSS-KAB-303,hss-county-303,303,281,303,exact_normalized,SP.4 Banjarbaru - Pasar Negara,2,Banjarbaru; Bayanan,1,Daha Selatan
HSS-KAB-304,hss-county-304,304,281,304,exact_normalized,Negara - Tumbukan Banyu,2,Bayanan; Tumbukan Banyu,1,Daha Selatan
HSS-KAB-305,hss-county-305,305,282,305,exact_normalized,SP.4. Banjarbaru - Pihanin Raya,3,Balah Paikat; Banjarbaru; Pihanin Raya,2,Daha Selatan; Daha Utara
HSS-KAB-306,hss-county-306,306,289,306,exact_normalized,Bayanan - Pihanin,3,Bayanan; Pandan Sari; Pihanin Raya,1,Daha Selatan
HSS-KAB-307,hss-county-307,307,286,307,exact_normalized,Jl. Kantor Camat Daha Selatan II,1,Tumbukan Banyu,1,Daha Selatan
HSS-KAB-308,hss-county-308,308,363,308,exact_normalized,Jl. Sungai Bugundi,1,Baruh Jaya,1,Daha Selatan
HSS-KAB-309,hss-county-309,309,362,309,exact_normalized,Jl. Tukang Garit,1,Tambangan,1,Daha Selatan
HSS-KAB-310,hss-county-310,310,288,310,exact_normalized,Pandak Daun - Baruh Jaya - Samuda,9,Baruh Jaya; Pakan Dalam; Pakapuran Kecil; Pandak Daun; Panggandingan; Paramaian; Samuda; Tambak Bitin; Tambangan,2,Daha Selatan; Daha Utara
HSS-KAB-311,hss-county-311,311,291,311,exact_normalized,Sei. Mandala - Murung Raya,4,Balah Paikat; Murung Raya; Sungai Garuda; Sungai Mandala,1,Daha Utara
HSS-KAB-312,hss-county-312,312,297,312,exact_normalized,Teluk haur I,1,Teluk Haur,1,Daha Utara
HSS-KAB-313,hss-county-313,313,298,313,exact_normalized,Teluk Haur II,1,Teluk Haur,1,Daha Utara
HSS-KAB-314,hss-county-314,314,365,314,treatment_engine_alias,Jl. HM. Thaib,1,Baruh Kembang,1,Daha Utara
HSS-KAB-315,hss-county-315,315,311,315,exact_normalized,Jl. Kenanga - Ds. Baruh Kambang,1,Baruh Kembang,1,Daha Utara
HSS-KAB-316,hss-county-316,316,303,316,exact_normalized,Jl. SMAN Negara (KH. Abdullah),1,Baruh Kembang,1,Daha Utara
HSS-KAB-317,hss-county-317,317,311,317,exact_normalized,Jl. Pertukangan,1,Baruh Kembang,1,Daha Utara
HSS-KAB-318,hss-county-318,318,311,318,treatment_engine_alias,Jl. Silaturahim,1,Mdl. Murung Mesjid,1,Daha Utara
HSS-KAB-319,hss-county-319,319,369,,unresolved,Jl. Habib Iberahim,1,Sungai Mandala,1,Daha Utara
HSS-KAB-320,hss-county-320,320,303,320,exact_normalized,Jl. Sukaramai - Keramat,3,Baruh Kembang; Mdl. Murung Mesjid; Sungai Mandala,1,Daha Utara
HSS-KAB-321,hss-county-321,321,292,321,exact_normalized,Pakan Dalam I,1,Tambak Bitin,1,Daha Utara
HSS-KAB-322,hss-county-322,322,293,322,exact_normalized,Pakan Dalam II,1,Pakan Dalam,1,Daha Utara
HSS-KAB-323,hss-county-323,323,294,323,exact_normalized,Pakan Dalam III,1,Pakan Dalam,1,Daha Utara
HSS-KAB-324,hss-county-324,324,309,324,exact_normalized,Jl. Paramaian,1,Paramaian,1,Daha Utara
HSS-KAB-325,hss-county-325,325,358,325,exact_normalized,Jl. MIN Pandak Daun,2,Pandak Daun; Paramaian,1,Daha Utara
HSS-KAB-326,hss-county-326,326,310,326,exact_normalized,Jl. Pesantren Muradiyah,1,Pandak Daun,1,Daha Utara
HSS-KAB-327,hss-county-327,327,360,327,exact_normalized,Jl. Pandak Daun (Buntut Muradiyah) - Pakan Dalam,3,Pakan Dalam; Pandak Daun; Paramaian,1,Daha Utara
HSS-KAB-328,hss-county-328,328,299,328,treatment_engine_alias,Pakan Dalam - Keminting Batu,5,Pakan Dalam; Pakapuran Kecil; Panggandingan; Tambak Bitin; Tambangan,2,Daha Selatan; Daha Utara
HSS-KAB-329,hss-county-329,329,359,329,exact_normalized,Jl. Samping Kantor Camat Daha Utara,1,Tambak Bitin,1,Daha Utara
HSS-KAB-330,hss-county-330,330,369,330,exact_normalized,Jl. Gang Bidan (Ds. Tambak Bitin),2,Panggandingan; Tambak Bitin,1,Daha Utara
HSS-KAB-331,hss-county-331,331,308,331,treatment_engine_alias,Jl. Cakingan Herman,1,Panggandingan,1,Daha Utara
HSS-KAB-332,hss-county-332,332,307,332,exact_normalized,Jl. Kampung Kawat,1,Pakapuran Kecil,1,Daha Utara
HSS-KAB-333,hss-county-333,333,306,333,treatment_engine_alias,Jl. Keminting Batu,1,Tambangan,1,Daha Selatan
HSS-KAB-334,hss-county-334,334,301,,unresolved,Jl. Hamayung - Ds. Hakurung Dalam,2,Hakurung; Hamayung,1,Daha Utara
HSS-KAB-335,hss-county-335,335,285,335,exact_normalized,Simpang Jadi Makmur Ds. Samuda,1,Samuda,1,Daha Selatan
HSS-KAB-336,hss-county-336,336,370,336,treatment_engine_alias,Jl. Sakincung Ds. Hakurun Dalam,1,Hakurung,1,Daha Utara
HSS-KAB-337,hss-county-337,337,302,337,exact_normalized,Hakurung Dalam - Ds. Sungai haji,1,Hakurung,1,Daha Utara
HSS-KAB-338,hss-county-338,338,318,338,exact_normalized,Jl. Siang Gantung - Ds. Baru,2,Baru; Siang Gantung,1,Daha Barat
HSS-KAB-339,hss-county-339,339,319,339,exact_normalized,Jl. Baru - Ds. Bajayau,1,Baru,1,Daha Barat
HSS-KAB-340,hss-county-340,340,268,,unresolved,Bajayau - Bajayau Tengah,2,Bajayau; Bajayau Tengah,1,Daha Barat
HSS-KAB-341,hss-county-341,341,322,,unresolved,Jl. Banua Hanyar - Tanjung Selor,2,Banua Hanyar; Tanjung Selor,2,Daha Barat; Daha Selatan
HSS-KAB-342,hss-county-342,342,323,342,exact_normalized,Jl. Tanjung Selor - Ds. Badaun,3,Badaun; Bajayau Lama; Tanjung Selor,1,Daha Barat
HSS-KAB-343,hss-county-343,343,324,343,treatment_engine_alias,Jl. Badaun - Ds. Bajayau Lama,1,Bajayau Lama,1,Daha Barat
HSS-KAB-344,hss-county-344,344,26,344,exact_normalized,Jl. Goha - Ds. Amawang Kanan,1,Amawang Kanan,1,Kandangan
HSS-KAB-345,hss-county-345,345,333,345,exact_normalized,Jl. Al - Ikhlas - Ds. Baluti,2,Baluti; Tibung Raya,1,Kandangan
HSS-KAB-346,hss-county-346,346,57,346,exact_normalized,Jl. Angkakai - Ds. Amawang Kiri,1,Amawang Kiri,1,Kandangan
HSS-KAB-347,hss-county-347,347,0,347,exact_normalized,Jl. Anjiran Rantauan - Ds. Taniran Tengah,1,Taniran Selatan,1,Angkinang
HSS-KAB-348,hss-county-348,348,61,348,exact_normalized,Jl. Asam Duhat - Ds. Pantai Ulin,1,Pantai Ulin,1,Simpur
HSS-KAB-349,hss-county-349,349,0,349,exact_normalized,Jl. Pertanian - Ds. Wasah Tengah,2,Wasah Hulu; Wasah Tengah,1,Simpur
HSS-KAB-350,hss-county-350,350,198,350,exact_normalized,Jl. Keramat Sakti - Ds. Tebing Tinggi,1,Tebing Tinggi,1,Simpur
