road_key,road_geometry_id,source_road_code,source_object_id,candidate_nomor_ruas,identity_match_status,display_name,district_id,district_name,intersection_length_m
HSS-KAB-041,hss-county-041,041,26,041,exact_normalized,SP.3 Baluti - Amawang,63.06.05,Kandangan,1572.06
HSS-KAB-042,hss-county-042,042,28,,unresolved,Sei. Kupang Utara - SP.4 Lungau,63.06.05,Kandangan,2355.94
HSS-KAB-043,hss-county-043,043,36,,unresolved,SP.4 Lungau - Bangkau,63.06.05,Kandangan,8100.44
HSS-KAB-044,hss-county-044,044,37,,unresolved,Sp.4 Lungau - Garis,63.06.05,Kandangan,8181.61
HSS-KAB-045,hss-county-045,045,337,045,exact_normalized,Gambir -SP. Empat Lungau,63.06.05,Kandangan,2939.35
HSS-KAB-046,hss-county-046,046,29,046,exact_normalized,Bariang - Getek,63.06.05,Kandangan,1237.69
HSS-KAB-047,hss-county-047,047,30,047,exact_normalized,Muara Banta - Karang Jawa,63.06.02,Padang Batung,314.71
HSS-KAB-047,hss-county-047,047,30,047,exact_normalized,Muara Banta - Karang Jawa,63.06.05,Kandangan,1277.87
HSS-KAB-048,hss-county-048,048,31,048,exact_normalized,Sungai Paring - Sei Hanyar Pantai Ulin,63.06.05,Kandangan,1292.19
HSS-KAB-048,hss-county-048,048,31,048,exact_normalized,Sungai Paring - Sei Hanyar Pantai Ulin,63.06.06,Simpur,4560.66
HSS-KAB-049,hss-county-049,049,33,049,exact_normalized,Kandangan Hulu - SP. Tabihi,63.06.02,Padang Batung,614.83
HSS-KAB-049,hss-county-049,049,33,049,exact_normalized,Kandangan Hulu - SP. Tabihi,63.06.05,Kandangan,630.02
HSS-KAB-050,hss-county-050,050,34,050,exact_normalized,Banyu Barau - Sungai Kalang,63.06.05,Kandangan,2103.4
HSS-KAB-051,hss-county-051,051,35,051,treatment_engine_alias,Tibung Raya - Asam Cangkok,63.06.01,Sungai Raya,803.2
HSS-KAB-051,hss-county-051,051,35,051,treatment_engine_alias,Tibung Raya - Asam Cangkok,63.06.05,Kandangan,58.12
HSS-KAB-052,hss-county-052,052,958,052,exact_normalized,Gambah Dalam - Rantauan,63.06.05,Kandangan,1519.64
HSS-KAB-053,hss-county-053,053,41,053,exact_normalized,Gambah Luar - Gambah Dalam,63.06.05,Kandangan,1289.51
HSS-KAB-054,hss-county-054,054,42,054,exact_normalized,Pegangsaan Timur - Teluk Aman,63.06.05,Kandangan,1047.39
HSS-KAB-055,hss-county-055,055,47,055,exact_normalized,Gambah Luar - Sungai Kudung,63.06.05,Kandangan,886.87
HSS-KAB-056,hss-county-056,056,151,056,exact_normalized,Bakarung Tengah - Karang Jawa,63.06.02,Padang Batung,2088.7
HSS-KAB-056,hss-county-056,056,151,056,exact_normalized,Bakarung Tengah - Karang Jawa,63.06.05,Kandangan,1679.92
HSS-KAB-057,hss-county-057,057,50,057,treatment_engine_alias,Jl. Papagaran/Pelangsatan,63.06.05,Kandangan,982.5
